,keyword,occurrences,engagement
0,productive,10,7072
1,simplification,11,9946
2,department,29,43192
3,newsletter,29,19560
4,industry,6,1605
5,commerce,6,7991
6,sgr,15,150326
7,program,59,463922
8,credit,17,161673
9,benefit,9,27937
10,smb,48,514349
11,benefits,35,150826
12,simple,1,13
13,export,34,94161
14,event,37,129749
15,invitation,2,12178
16,rio,3,18839
17,cuarto,3,18839
18,cordoba,2,12178
19,education,1,7727
20,register,12,151150
21,certificate,12,151150
22,tools,1,13173
23,opportunities,1,13173
24,growth,3,17893
25,digital,1,30539
26,sign,1,30539
27,delivery,1,30539
28,new,5,5186
29,markets,2,49
30,cost,1,5589
31,reduction,1,5589
32,competitivity,1,2874
33,international,12,35928
34,trade,12,35928
35,harbour,2,7029
36,registry,1,4155
37,national,1,4155
38,metrobus,2,8130
39,network,1,3643
40,neighborhood,1,4487
41,buenos,14,37536
42,aires,14,37536
43,design,4,18348
44,argentina,27,99837
45,training,11,14452
46,discounts,2,11347
47,coast,7,19991
48,google,6,20071
49,salta,3,10192
50,ctit,10,37730
51,expiration,11,190099
52,re-enrollment,10,79789
53,federal,12,31242
54,discount,6,19927
55,taxes,5,15212
56,mentoring,8,2254
57,trains,1,6728
58,logistics,1,6728
59,news,20,31907
60,entrepreneurs,3,22409
61,contest,2,21794
62,public,17,20724
63,works,17,20724
64,lobos,1,46
65,bariloche,2,391
66,port,4,7120
67,trailers,1,3094
68,santa,1,3094
69,fe,1,3094
70,airports,8,3532
71,santiago,1,386
72,estero,1,386
73,tucuman,1,556
74,sas,1,30539
75,secretary,7,7330
76,'s,7,7330
77,and,1,4155
78,import,1,4155
79,tax,1,9071
80,group,1,9071
81,a,1,9071
82,regional,2,8969
83,exports,1,4145
84,kit,1,872
85,cck,5,12656
86,enrolled,1,872
87,remainder,1,1790
88,reminder,3,8810
89,date,4,82985
90,sgp,2,825
91,oil,1,1361
92,insertar,3,3642
93,save,4,23
94,costs,2,7
95,time,2,16
